#0:PFC	1:FBS_max	2:Gene1	3:Gene2	4:FBS_PPI	5:FBS_Metabolic	6:FBS_Signaling	7:FBS_Complex	8:LLR_MEX	9:LLR_PIN	10:LLR_SCL	11:LLR_PHP	12:LLR_MIR	13:LLR_TFB	14:LLR_PEX	15:LLR_GIN	16:LLR_DOM	17:LLR_QMS	18:LLR_HSA	19:LLR_MMU	20:LLR_RNO	21:LLR_CFA	22:LLR_GGA	23:LLR_DRE	24:LLR_CIN	25:LLR_DME	26:LLR_CEL	27:LLR_BTA	28:LLR_SCE	29:LLR_ATH	30:LLR_SPO	31:LLR_BSU	32:LLR_ECO	33:LLR_PFA	34:LLR_OSA	35:Max_category
1.000	17.378	SSC1	EFT1	14.425	13.407	0.746	17.378	2.388	8.913	0.000	2.850	-0.093	0.440	0.381			2.499	4.838	3.398	-0.910		0.285	-0.091		0.104	0.283		10.898	2.383	2.378			1.317	-0.508	Complex
0.999	13.782	ARO8	EFT2	1.660	2.550	-1.501	13.782	1.341	12.179	0.000	0.601		0.440	-0.075			-0.704	-1.715	-0.196	-0.991	-0.725	-0.105					0.000	15.090		-0.201					Complex
0.990	11.501	KAR2	MSS4	-1.198	-2.891	1.085	11.501	-1.033	12.014	-0.278	0.360	-0.093	0.785	-0.075	-0.289		0.112	-0.140	-0.628	-0.768	-0.139				-0.612			11.553	-0.736	-0.201			-0.439		Complex
1.000	19.093	TIF2	RPP0	15.623	18.525	-2.193	19.093	5.214	7.517	0.680	2.331		0.952	0.075			2.324	4.748	3.622	1.590	-0.322	0.217	0.080		0.285	0.685	-0.206	14.170	1.974	0.242			2.590	1.873	Complex
1.000	23.321	TEF2	EFT1	23.321	21.958	2.874	19.969	5.893	9.063	0.602	3.906		0.755	0.000		0.814	2.288	6.310	1.768	-0.942	-0.297	1.171	-0.110		1.453	1.927	-0.281	14.402	5.591				3.103	0.250	PPI
1.000	24.599	ATP1	RPP0	13.170	16.983	-0.753	24.599	4.546	14.367	0.000	2.029		0.683	-0.075			3.049	5.988	4.401	1.671	-0.276	1.826	1.836		0.309	1.253	-0.206	15.427	-0.858	-0.016			-0.358		Complex
1.000	25.746	KRS1	TEF4	16.647	21.867	0.612	25.746	6.378	13.796	-0.278	1.163	0.089	2.173	-0.075			2.499	6.464	4.916	1.297	0.997				0.602	1.161	0.474	19.381	1.883	0.242			1.195	5.141	Complex
0.998	12.968	ARO8	ACT1	0.966	2.841	-1.523	12.968	0.090	12.179	-0.278	0.601		1.155	-0.075			-0.704	-1.672	-0.849	-0.945	-0.721	-0.303					-0.206	15.036		0.242					Complex
1.000	18.152	SSC1	TIF1	9.958	11.775	0.314	18.152	1.927	9.703	0.000	2.029	0.089	2.155	-0.075			2.324	4.405	2.377	0.567		0.252	-0.091		0.252	0.894		12.263	1.497	-0.201	0.825		1.203	0.170	Complex
1.000	19.090	KAP123	RPS3	8.904	7.657	-2.529	19.090	4.060	13.473	0.000	0.788		0.221	0.075			0.473	3.386	-0.703	1.664	0.240						-0.206	16.813	0.811	-0.201					Complex
1.000	21.136	KAR2	BAA21512	10.800	11.329	0.110	21.136	0.978	15.241		2.331	-0.093	0.808	0.000			1.872	4.127	2.458	0.228	-0.307	0.187			-0.371	0.649		14.522	-0.224	2.986			-0.089		Complex
1.000	24.094	TIF2	KRS1	12.949	12.814	-3.142	24.094	4.886	13.855	0.000	2.331	0.089	0.324	0.075		0.210	2.324	4.409	3.125	1.271	-0.365	0.557			0.020	0.596	0.474	19.632	2.222	-0.201	0.470		1.263	1.695	Complex
1.000	17.648	BMH1	HSP82	16.160	13.734	3.170	17.648	2.401	9.159	-0.278	2.850	-0.093	1.233	-0.075			2.450	6.334	4.872	1.344	0.441	0.523	0.962		1.071	0.383	0.698	10.239	-0.386	2.331			-0.157	-0.508	Complex
0.996	12.535	SNU23	BMH1	1.210	3.360	-2.420	12.535	-0.185	12.058	-0.278	1.163	0.089	-0.595	-0.075			0.359	0.771	-1.175	1.138	0.426	-0.254	-0.855		0.745			11.740	-0.747	-0.201			-0.439	0.095	Complex
1.000	16.177	CDC48	TEF1	16.177	14.864	0.325	14.336	2.392	6.475	0.602	3.906		0.481	-0.109			2.430	3.063	2.002	-0.443	-0.911		0.608		0.869	0.663	1.428	10.794	-0.087				0.987		PPI
1.000	21.258	URA2	EFT2	12.207	11.460	-4.007	21.258	4.357	13.737	-0.278	1.163	-0.093	0.440	0.381			1.551	1.503	1.114	0.755	0.362	-0.303	0.000		-0.446	0.279	0.145	15.593	4.075	3.352			1.863		Complex
1.000	15.968	SSC1	TEF2	14.117	14.102	0.628	15.968	1.240	7.956	0.000	2.850	-0.093	1.870	-0.075			2.218	3.900	1.599	-0.884		0.426	-0.091		0.267	-0.212		10.401	1.259				1.263	-0.233	Complex
1.000	20.433	TIF2	VMA2	7.406	7.133	-0.159	20.433	2.638	13.957	0.000	2.331	-0.093	0.585	-0.075			1.089	1.983	1.589	0.444	-0.359		-0.720		-0.022	0.685	0.757	17.792	-0.549	-0.016			0.555	-0.270	Complex
